Sibling annotation report: nocturne.exe <- nocedit.exe
mapping: /home/aryie/Repositories/NocturneDecomp/research/13-sibling_struct_layout_diff/verified_mapping.json   min-confidence: 0.90   signatures: True
mode: APPLY   NAME_SIG=3186  SIG_ONLY=214  ALREADY=484  SKIP_CONF=694  SKIP_SHAPE=25  SKIP_NAMED=64  SKIP_TU=40

  0040e2a0 <- 004104a0  0.90  identical      core_actor.cpp_CVector_copy_FUN_0040e2a0
  0040e320 <- 00410520  0.85  identical      engine_alphabit.cpp_CAlphaBitmap_ctor_FUN_0040e320
  0040e340 <- 00410540  0.85  identical      engine_alphabit.cpp_CAlphaBitmap_dtor_FUN_0040e340
  0040e360 <- 00410560  0.85  similar_size   engine_alphabit.cpp_CAlphaBitmap_free_FUN_0040e360
  0040e3c0 <- 004105d0  0.97  similar_size   engine_alphabit.cpp_CAlphaBitmap_load_FUN_0040e3c0
  0040e710 <- 00410950  0.99  identical      engine_alphabit.cpp_CAlphaBitmap_display_FUN_0040e710
  0040e8c0 <- 00410b00  0.99  identical      engine_alphabit.cpp_CAlphaBitmap_render_FUN_0040e8c0
  0040e9e0 <- 00410c20  0.99  identical      engine_alphabit.cpp_CAlphaBitmap_scale_FUN_0040e9e0
  0040eab0 <- 00410cf0  0.99  identical      engine_alphabit.cpp_CAlphaBitmap_initPalette_FUN_0040eab0
  0040eb70 <- 00410dc0  0.85  same_mnemonics core_ammo.cpp_CAmmo_ctor_FUN_0040eb70
  0040ed80 <- 00410fd0  0.85  same_mnemonics core_ammo.cpp_CAmmo_setWeaponClass_FUN_0040ed80
  0040ef90 <- 004114e0  0.90  identical      core_ammo.cpp_CAmmo_dtor_FUN_0040ef90
  0040f130 <- 00411690  0.85  same_mnemonics core_ammobox.cpp_CAmmoBox_openBox_FUN_0040f130
  0040f7d0 <- 00411f50  0.90  same_mnemonics core_anvil.cpp_CAnvil_archive_FUN_0040f7d0
  0040f860 <- 00411fe0  0.90  same_mnemonics core_anvil.cpp_CAnvil_getBoundingBox_FUN_0040f860
  0040fc30 <- 00412500  0.90  same_mnemonics core_armour.cpp_CArmour_dtor_FUN_0040fc30
  0040fcf0 <- 004125c0  0.90  same_mnemonics core_armour.cpp_CEnemy_dtor_FUN_0040fcf0
  0040fdc0 <- 00412690  0.90  identical      core_armour.cpp_CFlame_dtor_FUN_0040fdc0
  0040fe10 <- 004126e0  0.85  identical      core_armour.cpp_CVector3f_arrdtor_FUN_0040fe10
  0040fe30 <- 00412700  0.85  identical      core_armour.cpp_SFire_arrdtor_FUN_0040fe30
  0040fe50 <- 00412720  0.85  identical      core_armour.cpp_CFlame_arrdtor_FUN_0040fe50
  004100a0 <- 004129f0  0.90  same_mnemonics core_backgnd.cpp_CBackgroundActor_getCollisionType_FUN_004100a0
  004100e0 <- 00412a30  0.90  same_mnemonics core_backgnd.cpp_CBackgroundActor_getGroundType_FUN_004100e0
  00410140 <- 00412b20  0.99  identical      core_baron.cpp_staticInit_FUN_00410140
  004101d0 <- 00412bc0  0.78  same_mnemonics core_baron.cpp_CBaron_ctor_FUN_004101d0
  00410a80 <- 00413470  0.93  same_mnemonics core_baron.cpp_CBaron_attachToOwner_FUN_00410a80
  00410bb0 <- 004135a0  0.93  same_mnemonics core_baron.cpp_CBaron_detachFromOwner_FUN_00410bb0
  00410bf0 <- 004135e0  0.78  same_mnemonics core_baron.cpp_CBaron_updateMountedPosition_FUN_00410bf0
  004112f0 <- 00413cd0  0.99  identical      core_baron.cpp_CBaron_processDamage_FUN_004112f0
  00411350 <- 00413d40  0.78  same_mnemonics core_baron.cpp_CBaronWeapon_ctor_FUN_00411350
  004113b0 <- 00413da0  0.99  identical      core_baron.cpp_CBaronWeapon_setup_FUN_004113b0
  004113d0 <- 00413dc0  0.99  identical      core_baron.cpp_CBaronWeapon_process_FUN_004113d0
  004114a0 <- 00413e90  0.97  same_mnemonics core_baron.cpp_CBaronWeapon_setWeaponState_FUN_004114a0
  00411530 <- 00413f20  0.85  same_mnemonics core_baron.cpp_CBaronWeapon_findOrCreateBaron_FUN_00411530
  00411610 <- 004140b0  0.90  identical      core_baron.cpp_CBaronWeapon_dtor_FUN_00411610
  00411660 <- 00414100  0.90  identical      core_baron.cpp_CBaron_dtor_FUN_00411660
  00411710 <- 004141c0  0.80  same_mnemonics core_barrier.cpp_CBarrier_ctor_FUN_00411710
